key,en,ja,zh_CN
<!MissingKey:Ah... good morning.>,Ah... good morning.,はぁ……おはよう。,呼啊……早上好。
"<!MissingKey:Well, not always, I guess.>","Well, not always, I guess.",うーん、必ずしもそうではないね.,嗯，大概不总是。
<!MissingKey:......>,"......
I'll be careful.","……
気をつけるよ.","……
我会注意的。"
<!MissingKey:You always get up earlier than us.>,"You always get up earlier than us.
Is that just how business people are?","君はいつも私たちより早く起きるね。
商売をしている人は、みんなそうなの？","你起的总是比我们早呢。
做生意的都是这样么？"
"<!MissingKey:Hmm,>","Hmm,
you really should learn to express your opinions.","うーん、
それなら、自分の意見をちゃんと言えるようになったほうがいいよ.","唔嗯，
那么你最好学会表达自己的意见。"
<!MissingKey:That's good.>,"That's good.
Before the Bird wakes up... I have a few questions for you, Shan.","それならよかった。
あの鳥がまだ起きる前に……君に聞きたいことがあるんだ、杉.","那就好。
趁那只鸟还没醒……我也有些问题要问你，杉。"
<!MissingKey:That guy is tough and mysterious.>,"That guy is tough and mysterious.
...To be honest, I kind of don't like him.
If you keep this up, you'll only end up being led around by him, and that's not necessarily a good thing.","あいつは強情で謎めいているんだ。
……正直、あいつのことはちょっと苦手だよ。
こんな調子だと、君はあいつに振り回されるだけになってしまう。それは良いことじゃないよ.","那家伙强硬又神秘。
……说实话我有点讨厌他。
这样下去你只会被他牵着鼻子走，这不见得是好事。"
"<!MissingKey:No, I'm really glad you told me.>","No, I'm really glad you told me.",いや、君が教えてくれて嬉しいよ.,不，我很高兴你能告诉我。
"<!MissingKey:In the early days of starting my business, I was constantly overwhelmed every day,>","In the early days of starting my business, I was constantly overwhelmed every day,
and before I knew it, I had developed the habit of getting up early... or rather, of suffering from insomnia.","起業当初は、毎日バタバタしていて、
気づけば朝早く起きる習慣がついてしまった……いや、むしろ不眠の癖だったね.","创业初期那会，我每天都焦头烂额，
不知不觉就养成了早起……或者说失眠的习惯。"
"<!MissingKey:Good morning, Shan.>","Good morning, Shan.",おはよう、杉。,早上好，小杉。
<!MissingKey:Did you two know each other before?>,"Did you two know each other before?
And where on earth did he come from?","君たちは以前から知り合いだったの？
それに、彼は一体どこから来たの？","你们之前就认识吗？
还有，他到底是打哪儿来的？"
<!MissingKey:......>,......,……,……
<!MissingKey:Sorry for bringing up such a gloomy topic.>,Sorry for bringing up such a gloomy topic.,ごめん、暗い話をしてしまって.,抱歉，说了些消沉的话题。
"<!MissingKey:Oh, heavens, my career!>","Oh, heavens, my career!
By the time I return to reality, it'll be too late.","ああ、神様、私の事業よ。
現実に戻った頃には、もう手遅れになっているわ.","哦，老天，我的事业啊。
等我真的回到现实，黄花菜都凉了。"
<!MissingKey:Hmm... not really.>,"Hmm... not really.
The Bird was the first companion I met after I became a player.
Honestly, I don't know much about him, since he never talks about himself.","うーん……いや、そうじゃないよ。
鳥は、私がプレイヤーになってから出会った最初の仲間なんだ。
実は彼のことはあまり知らないんだ、彼は自分のことを一度も話さなかったからね.","嗯……并没有，
鸟是我成为玩家以后遇到的第一个同伴。
其实我也不太了解他，毕竟他从没说过自己的事。"
