key,en,ja,zh_CN
<!MissingKey:I don’t get it...>,I don’t get it...,理解できない……,我不明白……
"<!MissingKey:Did I hear that right, Bird?>","Did I hear that right, Bird?
You're ten times colder than I thought.","聞き間違いじゃないよね、鳥兄？
思ったよりずっと冷酷だな。","我没听错吧，鸟兄？
你比我想象的还要冷血十倍。"
<!MissingKey:......>,......,……,……
"<!MissingKey:Don't make me spell it out, Shan.>","Don't make me spell it out, Shan.
What I mean is,
her companions either abandoned her or they're dead.","はっきり言わせるなよ、杉。
つまり、
仲間に見捨てられたか、全滅したかってことだ。","别让我说的这么直白，小杉。
我的意思是，
她的同伴们要么丢下她跑了，要么都死了。"
<!MissingKey:......>,......,……,……
"<!MissingKey:Ah,>","Ah,
she left.","ああ、
行っちゃった。","啊，
走掉了。"
<!MissingKey:...>,"...
Norz?",……ノーズ？,"……
诺兹？"
"<!MissingKey:Don't worry about it, Shan.>","Don't worry about it, Shan.
There are always people like that.","気にするなよ、杉。
そういう奴もいるさ。","别在意，小杉，
总是有那种家伙的。"
<!MissingKey:I don’t know either.>,I don’t know either.,私も知らない。,我也不认识。
<!MissingKey:It’s fine.>,"It’s fine.
Do you need help?
It’s dangerous to be alone.","気にしないで。
助けがいるか？
一人じゃ危ないぞ。","没关系。
你需要帮助吗？
孤身一人很危险。"
<!MissingKey:But there's no one else with her...>,But there's no one else with her...,でも、周りに誰もいない……,可她身边没有其他人……
"<!MissingKey:Even if we all die, we’ll revive somewhere else.>","Even if we all die, we’ll revive somewhere else.
You don’t have to worry about being a burden.","全滅しても別の場所で復活できる。
足手まといになる心配はない。","就算团灭了也会在别处复活，
你不用担心会成为我们的累赘。"
<!MissingKey:Are you seeing things?>,"Are you seeing things?
We've come pretty far in.
Who would be wandering around in a place this dangerous?","見間違いじゃない？
もうかなり奥まで来たんだぞ。
こんな危険な場所をうろつく奴なんているか？","你是不是眼花了？
我们已经走的相当深入了，
有谁会在这么危险的地方瞎逛。"
<!MissingKey:I know.>,"I know.
You're fighting to return to reality.
That's why... I can't go with you.","分かってる。
君たちは現実に戻るために戦ってる。
だから……一緒には行けない。","我很清楚。
你们为了回到现实而战斗。
所以……我无法与你们同行。"
<!MissingKey:Who’s that?>,Who’s that?,誰だ？,那是谁？
"<!MissingKey:Hey, are you alright?>","Hey, are you alright?",やあ、大丈夫か？,嗨，你还好吗？
<!MissingKey:...>,"...
Fine.",……分かった。,"……
好吧。"
"<!MissingKey:... Sorry,>","... Sorry,
I mistook you for someone else.","……ごめん、
人違いだった。","……抱歉，
是我认错人了。"
<!MissingKey:A-Are you sure?>,"A-Are you sure?
We have a player in our team,
do you understand what that means?","ほ、本当にいいのか？
俺たちにはプレイヤーがいるんだぞ、
それがどういう意味か分かるか？","你，你确定？
我们是一支有玩家的队伍，
这样说你明白吗？"
"<!MissingKey:If she doesn’t want to return to reality,>","If she doesn’t want to return to reality,
why come this far?","現実に戻りたくないなら、
なんでこんな奥まで来たんだ？","如果她不想回到现实，
为什么要深入到这种地方？"
<!MissingKey:......>,......,……,……
<!MissingKey:Hmm... I don’t get it either.>,"Hmm... I don’t get it either.
But if she doesn’t want to talk, let’s just leave her be.
As long as she doesn’t cause trouble.","うーん……俺にも分からん。
でも話したくないなら、放っておこう。
問題を起こさなければいい。","嗯……我也想不通。
不过既然她不想说，那就随她去吧。
只要不起冲突就好。"
"<!MissingKey:Huh,>","Huh,
is that someone over there?","ん？
あそこに誰かいる？","唔，
那里是不是有个人？"
<!MissingKey:It could be a trap. Let's go around her.>,It could be a trap. Let's go around her.,罠かもしれない。避けて行こう。,可能是陷阱，绕开她走吧。
"<!MissingKey:Uh, Norz?>","Uh, Norz?",え、ノーズ？,呃，诺兹？
"<!MissingKey:... Even if it's a trap, we can revive.>","... Even if it's a trap, we can revive.
We should at least check on her.","……罠だとしても、どうせ復活できる。
せめて話を聞こう。","……就算是陷阱，我们也可以复活。
至少应该问问她的情况。"
"<!MissingKey:Wait, I see it too.>","Wait, I see it too.
... Unbelievable,
there's no way someone got here alone.","待て、俺にも見えた。
……信じられない、
一人でここまで来られるはずがない。","等等，我也看到了。
……真是难以置信，
一个人是到不了这里的。"
"<!MissingKey:If you join us for now,>","If you join us for now,
we can escort you somewhere safe.","俺たちと行けば、
安全な場所まで送れるけど？","如果你暂时加入我们，
我们可以护送你到安全的地方。"
"<!MissingKey:I appreciate it,>","I appreciate it,
but no thanks.","気持ちは嬉しいけど、
大丈夫。","谢谢你的好意，
但是不用了。"
