key,en,ja,zh_CN
"<!MissingKey:Let me guess, since you know Huse,>","Let me guess, since you know Huse,
I bet you had plenty of chances to act—","当ててやろうか、
休斯を知ってるってことは、
お前には前からチャンスがあったはず——","让我猜猜，鉴于你认识休斯，
我想你早就有机会做出行动——"
<!MissingKey:...>,...,……,……
<!MissingKey:...>,...,……,……
<!MissingKey:...>,...,……,……
<!MissingKey:But you didn’t.>,"But you didn’t.
And for some reason, you regret it now,
so you're suddenly desperate to return to reality.","でも、お前は動かなかった。
そして今さら後悔して、
現実に戻りたいと騒いでるんだろ。","但你没有，
并且出于某种原因又感到后悔，
现在才嚷嚷着要回到现实。"
<!MissingKey:...>,"...
I have to admit, Bird, you're sharp.
But I think we're not so different in this regard.","……
お前は鋭いな。
でも、俺たち大差ないだろ。","……
我得承认，鸟兄，你很敏锐。
但我觉得我们在这件事上半斤八两。"
"<!MissingKey:Since you're here and know so much,>","Since you're here and know so much,
you must have missed your chance to leave too.
We're just not that brave, and that's okay, right?","お前もここにいるってことは、
俺と同じで機会を逃したんだろ？
勇気が足りなかっただけ、それでいいじゃないか。","既然你现在在这儿，并且知道的这么清楚，
你肯定也和我一样，错过了上路的机会。
咱们只是没那么勇敢，这无可厚非吧？"
"<!MissingKey:Oh, come on.>","Oh, come on.",おいおい。,哦，得了吧。
"<!MissingKey:Come on, at least give me a reason.>","Come on, at least give me a reason.
... No, wait, why am I even arguing with you?
You're not even a player. This isn't up to you.","頼む、理由くらい言えよ。
……いや、待てよ、
お前プレイヤーじゃないだろ。決めるのはお前じゃない。","拜托，至少给我个理由。
……不对，我何必和你废话，
你又不是玩家，这事可不是你说了算。"
"<!MissingKey:Dear Shan, I want to be your right-hand.>","Dear Shan, I want to be your right-hand.
Could you talk to that stubborn guy for me?
Of course, if you can't convince him, that's fine. It's your call.","杉、君の力になりたいんだ。
あの頑固者と話してくれないか？
もちろん、無理ならいい。決めるのは君だよ。","亲爱的小杉，我想要成为你的左膀右臂，
你能否和你那位老顽固沟通一下？
当然，说服不了他也没关系，决定权在你。"
"<!MissingKey:So, give it up.>","So, give it up.
I have no interest in fighting alongside a coward.","だから諦めろ。
臆病者と肩を並べる気はない。","所以，死心吧。
我可不想和一个懦夫并肩作战。"
<!MissingKey:...>,...,……,……
<!MissingKey:Great.>,"Great.
You don’t mind, right?","よし。
君も異論なしだな？","好极了。
你也没意见吧？"
<!MissingKey:... Fine.>,"... Fine.
I can't argue with that.
Do whatever you want, you stubborn fool.","……分かった。
反論できないな。
好きにしろ、図々しい奴め。","……好吧，
我无法反驳。
随你便吧，厚脸皮的家伙。"
<!MissingKey:... How many more days do you plan to keep following us?>,... How many more days do you plan to keep following us?,……いつまでついてくる気？,……你到底还要尾随我们多少天？
"<!MissingKey:I... uh,>","I... uh,
I’d be happy to have you!","え、あ……
大歓迎だよ！","我……嗯，
我很欢迎！"
<!MissingKey:No means no.>,No means no.,ダメなものはダメ。,不行就是不行。
<!MissingKey:Until you agree to let me join.>,Until you agree to let me join.,君たちが入れてくれるまで。,直到你们同意我加入为止。
"<!MissingKey:Uh... Bird,>","Uh... Bird,
why don’t you want her to join?","えっと……鳥兄、
なんで彼女を入れたくないの？","呃……鸟先生，
为什么你不想让她加入呢？"
