key,en,ja,zh_CN
<!MissingKey:...>,...,……,……
<!MissingKey:...>,...,……,……
"<!MissingKey:Well, if you have nothing else to say,  >","Well, if you have nothing else to say,  
please step aside.  
We need to keep moving.","さて、話が終わったなら、  
どいてくれないか？  
先に進みたいんだ。","那么，如果你没有别的事要讲，请让开吧。
我们要继续前进了。"
<!MissingKey:...Mhm!>,...Mhm!,……うんうん！,……嗯嗯！
<!MissingKey:Don't panic. It’s probably not a monster.>,Don't panic. It’s probably not a monster.,落ち着け、モンスターじゃなさそうだ。,别那么慌张，应该不是怪物。
<!MissingKey:!>,!,！,！
<!MissingKey:H-hello.>,H-hello.,こ、こんにちは。,你，你好。
"<!MissingKey:Of course, it's our first time.  >","Of course, it's our first time.  
Do you know me?","もちろん、初めまして。  
私を知ってるの？","当然，初次见面。
你认识我？"
"<!MissingKey:I saw that after you defeated the monster,  >","I saw that after you defeated the monster,  
those burned cards restored themselves.  
And you still maintain a human form—","君がモンスターを倒した後、  
燃え尽きたはずのカードが元に戻った。  
それに君は人の姿を保っている——","我看到在你打倒怪物之后，
那些原本已经烧毁但又复原的卡片；
而且你还保持着人形——"
"<!MissingKey:Didn’t expect to meet a player,  >","Didn’t expect to meet a player,  
though not the one I know.  
Your party is rather small.","まさかプレイヤーに会うとはな。  
知ってる奴じゃないが。  
それに、随分小さなパーティーだな。","没想到我能遇到一名玩家，
虽然不是我所熟知的那一位。
队伍也很渺小。"
"<!MissingKey:Hey, come out!  >","Hey, come out!  
We already know you're there!","おい、出てこい！  
バレてるぞ！","喂，出来吧！
你已经被发现了！"
"<!MissingKey:Being here for so long, I've grown used to everything living being just a piece of paper...  >","Being here for so long, I've grown used to everything living being just a piece of paper...  
She reminds me of a friend’s child—  
this is what a real person should be like.","ここに長くいすぎて、  
生き物はみんな紙切れみたいなものだと慣れてしまった……  
でも、彼女を見ていると、友人の子供を思い出す。  
本来、人ってこうあるべきなんだな。","在这儿呆的太久，我已经习惯了所有活物都是一张纸片……
她让我怀念起朋友家的小孩——这才是一个人该有的样子。"
"<!MissingKey:Good, seems like we’re on the same page.>","Good, seems like we’re on the same page.",いいね、意見は合いそうだ。,挺好，看来我们立场相同。
<!MissingKey:Huh... huh?>,Huh... huh?,ん……ん？,嗯……嗯？
"<!MissingKey:Uh, w-what should we do?  >","Uh, w-what should we do?  
Should we run?","うぅ、ど、どうしよう？  
逃げる？","呜，怎，怎么办？
要跑吗？"
"<!MissingKey:Alright, you two, look over here.>","Alright, you two, look over here.",よし、二人とも、こっちを見て。,好吧，两位，看这里。
<!MissingKey:...Why do I feel uneasy?>,...Why do I feel uneasy?,……なんだか嫌な感じがする。,……为什么我感觉心里毛毛的。
<!MissingKey:Maybe someone is watching us from the shadows.>,Maybe someone is watching us from the shadows.,誰かが陰からこちらを見ているかもしれない。,可能有人在暗处观察我们。
"<!MissingKey:No, it's nothing.>","No, it's nothing.",いや、なんでもない。,不，没什么。
"<!MissingKey:Wait, aren't you going to invite me to join?  >","Wait, aren't you going to invite me to join?  
Uh, I mean,  
can I join you?","ちょっと待って、パーティーに誘わないの？  
あ、いや、  
一緒に行ってもいいかな？","等等，你不邀请我入队吗？
呃，我是说，
可不可以让我也加入呢？"
"<!MissingKey:Hello,  >","Hello,  
you’re quite an unusual one.","やぁ、  
ちょっと変わった子だな。","你好，
不一般的小家伙。"
"<!MissingKey:...This is our first time meeting, right?>","...This is our first time meeting, right?",……初対面、だよな？,……初次见面，对吧？
