key,en,ja,zh_CN
<!MissingKey:Graveyard>,Graveyard,墓地,墓地
SAVEQUIT,Save & Quit,セーブして終了,保存并退出
IMMUNE,Immune,免疫,免疫
"<!MissingKey:At the end of battle, a random ally on the field gain +1 permanent attack>","At the end of battle, a random ally on the field gain +1 permanent attack",戦闘終了時、フィールド上のランダムな味方が永久に+1攻撃力を得る,战斗结束时，一个随机友方获得永久的1点攻击力
ABANDON,Abandon current run,現在のプレイを放棄,放弃本局游戏
TUTORIAL,Tutorial,チュートリアル,教程
"<!MissingKey:When a creature with 0 attack enters the field, it gains 1 attack>","When a creature with 0 attack enters the field, it gains 1 attack",攻撃力0の生物が場に出た時、1点の攻撃力を得る,你的攻击力为0的生物入场时，获得1点攻击力
NEXTLEVEL,Next Level,次のレベル,下一层
FULLSCREEN,Fullscreen,全画面,全屏
SHENZHEN,Cartridge,カートリッジ,弹匣
FUSIONTIME,Fusion attempts:,融合回数:,融合次数：
<!MissingKey:Freeze any creature entered the field>,Freeze any creature entered the field,生物が場に出た時、凍結状態になる,生物入场时，陷入冰冻状态
STEINGATE,Christina,クリスティーナ,克里斯蒂娜
LASTWAVE,Last Wave,最終ウェーブ,最后一波
<!MissingKey:Any creature entered the field gain +1/+1>,Any creature entered the field gain +1/+1,生物が場に出た時、+1/+1を得る,生物入场时，获得+1/+1
"<!MissingKey:At the end of the turn, your leftmost creature gains 3 health>","At the end of the turn, your leftmost creature gains 3 health",ターン終了時、最も左の味方が3点の体力を得る,回合结束时，最靠左的友方获得3点生命值
WET,Soaked,びしょ濡れ,湿哒哒
SYAMIKO,Statue,像,雕像
ENEMYKILLED,Enemies killed:,撃破数:,击杀数：
"<!MissingKey:At the start of the turn, if you have no creatures on the field, draw a card>","At the start of the turn, if you have no creatures on the field, draw a card",ターン開始時、フィールドに生物がいなければ、カードを1枚引く,回合开始时，如果你的场上没有生物，抽一张牌
<!MissingKey:New game>,New game,新規ゲーム,新的一局
